LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet,Latitude,Longitude
LINC-102864,CGL-202864,"5420 8 Ave NE, Calgary, AB",Brentwood,Townhouse,3,1.5,1132584,1994,1073,50.98188,-114.18776
LINC-102865,CGL-202865,"5222 17 Ave SW, Calgary, AB",Mahogany,Detached,5,2.0,636131,1960,2337,51.186245,-114.06776
LINC-102866,CGL-202866,"1190 17 Ave SW, Calgary, AB",Tuscany,Detached,5,3.6,299454,1996,1763,50.92,-113.99588
LINC-102867,CGL-202867,"9918 17 Ave SW, Calgary, AB",Tuscany,Condo,4,1.9,744525,1979,1999,51.103715,-114.15436
LINC-102868,CGL-202868,"3619 MacLeod Trail SE, Calgary, AB",Seton,Detached,3,2.3,804617,1987,959,51.01254,-114.0838
LINC-102869,CGL-202869,"7657 17 Ave SW, Calgary, AB",Tuscany,Townhouse,3,3.1,848816,2008,1316,51.048345,-114.1216
LINC-102870,CGL-202870,"4359 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,2,1.1,492606,2012,2591,51.12062,-113.9512
LINC-102871,CGL-202871,"8854 17 Ave SW, Calgary, AB",Brentwood,Detached,1,2.6,691749,1960,781,50.91601,-114.138
LINC-102872,CGL-202872,"3393 8 Ave NE, Calgary, AB",Seton,Townhouse,5,3.8,441071,2004,653,51.111555,-114.18836
LINC-102873,CGL-202873,"8504 Centre St N, Calgary, AB",Signal Hill,Townhouse,2,3.4,833864,1958,1944,51.17109,-114.0688
LINC-102874,CGL-202874,"2952 Centre St N, Calgary, AB",Signal Hill,Condo,2,1.0,1117392,2021,2280,50.89396,-114.0564
LINC-102875,CGL-202875,"3113 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,3,1.5,716794,1989,2173,50.885525,-114.071
LINC-102876,CGL-202876,"5452 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,3,3.2,756075,2015,704,50.98279,-114.20308
LINC-102877,CGL-202877,"1763 Crowchild Trail NW, Calgary, AB",Signal Hill,Detached,3,2.3,751603,1974,1698,51.18572,-114.04308
LINC-102878,CGL-202878,"4674 Memorial Dr NE, Calgary, AB",Mahogany,Condo,1,3.2,714197,1998,1165,51.12181,-114.0646
LINC-102879,CGL-202879,"9807 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,1,4.0,485388,1976,2122,50.9382,-114.24592
LINC-102880,CGL-202880,"2337 Crowchild Trail NW, Calgary, AB",Signal Hill,Townhouse,3,3.7,909664,2005,1573,50.966235,-114.2512
LINC-102881,CGL-202881,"5694 17 Ave SW, Calgary, AB",Signal Hill,Townhouse,5,2.8,280401,1954,959,50.89018,-113.99556
LINC-102882,CGL-202882,"890 Crowchild Trail NW, Calgary, AB",Signal Hill,Townhouse,3,2.4,855489,1952,2676,51.08758,-113.9974
LINC-102883,CGL-202883,"3933 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,3,1.5,988482,1960,2713,50.86302,-113.98572
LINC-102884,CGL-202884,"9839 Centre St N, Calgary, AB",Panorama Hills,Townhouse,3,3.7,428468,1987,2096,50.88374,-114.0452
LINC-102885,CGL-202885,"4637 Elbow Dr SW, Calgary, AB",Signal Hill,Townhouse,3,2.9,1194708,2008,2887,51.108895,-114.02152
LINC-102888,CGL-202888,"941 8 Ave NE, Calgary, AB",Brentwood,Detached,4,3.2,735239,2018,2995,50.93071,-114.27112
LINC-102889,CGL-202889,"1312 Memorial Dr NE, Calgary, AB",Brentwood,Condo,5,2.6,920352,2007,835,50.876285,-114.22732
LINC-102890,CGL-202890,"7671 17 Ave SW, Calgary, AB",Tuscany,Townhouse,5,1.9,525452,1992,905,50.971835,-114.1162
LINC-102891,CGL-202891,"4456 Memorial Dr NE, Calgary, AB",Brentwood,Condo,4,3.3,417642,2016,2102,51.121215,-114.21372
LINC-102892,CGL-202892,"8674 17 Ave SW, Calgary, AB",Beltline,Detached,2,2.9,470117,2017,2559,50.88381,-114.02488
LINC-102893,CGL-202893,"5698 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,1,3.3,856205,1981,2997,50.850245,-114.20592
LINC-102895,CGL-202895,"471 Elbow Dr SW, Calgary, AB",Seton,Townhouse,5,2.9,425032,1963,2323,50.98482,-113.99392
LINC-102896,CGL-202896,"7767 Crowchild Trail NW, Calgary, AB",Beltline,Condo,3,1.4,1153288,2004,2232,51.115125,-114.28368
LINC-102897,CGL-202897,"9687 8 Ave NE, Calgary, AB",Brentwood,Condo,1,2.9,938907,1990,2566,50.987375,-114.209
LINC-102898,CGL-202898,"8922 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,4,3.9,262466,1990,1299,51.127095,-114.26108
LINC-102899,CGL-202899,"2173 Elbow Dr SW, Calgary, AB",Mahogany,Detached,1,1.4,502844,1960,542,51.15849,-113.90516
LINC-102900,CGL-202900,"4173 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,5,4.0,572304,1967,3147,50.96788,-114.004
LINC-102901,CGL-202901,"5263 MacLeod Trail SE, Calgary, AB",Beltline,Detached,4,1.1,311940,2017,1843,51.010475,-114.0602
LINC-102902,CGL-202902,"8865 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,1,1.1,593660,1957,1055,51.101545,-113.95772
LINC-102903,CGL-202903,"5004 8 Ave NE, Calgary, AB",Panorama Hills,Condo,2,2.2,1199775,1993,3355,51.128705,-113.929
LINC-102904,CGL-202904,"8798 Centre St N, Calgary, AB",Brentwood,Condo,4,1.4,711237,1960,1388,51.11908,-114.11512
LINC-102905,CGL-202905,"5812 Crowchild Trail NW, Calgary, AB",Panorama Hills,Townhouse,4,2.7,469137,1995,1491,51.194505,-114.2618
LINC-102906,CGL-202906,"1088 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,3,2.6,1166261,2005,870,51.097205,-114.08708
LINC-102907,CGL-202907,"6108 Elbow Dr SW, Calgary, AB",Tuscany,Condo,2,1.3,600551,1999,2038,50.926825,-114.17832
LINC-102908,CGL-202908,"4022 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,2,2.1,1078221,1964,914,50.95451,-114.0272
LINC-102909,CGL-202909,"6323 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,5,1.1,390534,2015,1482,50.865295,-113.98364
LINC-102910,CGL-202910,"7825 Centre St N, Calgary, AB",Brentwood,Condo,1,3.6,821161,2003,3163,50.92441,-114.19652
LINC-102911,CGL-202911,"6296 Centre St N, Calgary, AB",Beltline,Condo,2,1.9,796559,1960,2047,51.17249,-114.17596
LINC-102912,CGL-202912,"4276 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,4,1.2,1186694,1963,3053,50.9977,-114.2144
LINC-102913,CGL-202913,"7666 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,3,2.6,1107877,1988,2177,50.952375,-114.04328
LINC-102914,CGL-202914,"4451 17 Ave SW, Calgary, AB",Tuscany,Detached,1,1.6,837429,2019,505,51.103995,-114.1414
LINC-102915,CGL-202915,"2317 Centre St N, Calgary, AB",Brentwood,Detached,3,1.4,690085,1976,2229,51.135215,-114.10736
LINC-102916,CGL-202916,"2300 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,3,2.9,959290,1984,2356,50.866555,-114.15288
LINC-102917,CGL-202917,"2001 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,2,2.8,1082828,1977,588,51.145225,-113.90692
LINC-102918,CGL-202918,"9526 Centre St N, Calgary, AB",Signal Hill,Detached,4,2.5,522763,1950,2833,51.143615,-114.0876
LINC-102919,CGL-202919,"2945 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,3,3.8,783879,2008,1604,51.05986,-114.02412
LINC-102920,CGL-202920,"5341 Memorial Dr NE, Calgary, AB",Tuscany,Detached,2,3.5,1054173,1992,2702,51.16766,-114.19604
LINC-102921,CGL-202921,"7533 8 Ave NE, Calgary, AB",Seton,Condo,1,2.4,1181414,1975,587,51.192615,-114.29692
LINC-102922,CGL-202922,"7060 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,1,3.4,1044358,1999,1609,50.91664,-114.21352
LINC-102923,CGL-202923,"675 8 Ave NE, Calgary, AB",Tuscany,Detached,5,2.5,798108,1958,2577,51.145155,-114.2418
LINC-102924,CGL-202924,"8184 8 Ave NE, Calgary, AB",Signal Hill,Condo,4,3.0,626590,2015,1411,50.95192,-114.2742
LINC-102925,CGL-202925,"3934 8 Ave NE, Calgary, AB",Mahogany,Condo,4,2.3,1119689,1982,886,50.944955,-114.09684
LINC-102926,CGL-202926,"3910 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,1,2.9,368192,1994,1290,51.018245,-114.1352
LINC-102927,CGL-202927,"8499 Memorial Dr NE, Calgary, AB",Panorama Hills,Condo,1,1.6,383920,2000,1045,51.06539,-113.96452
LINC-102928,CGL-202928,"5812 MacLeod Trail SE, Calgary, AB",Seton,Detached,1,3.8,321114,1971,1452,51.13336,-114.25532
LINC-102929,CGL-202929,"1492 Crowchild Trail NW, Calgary, AB",Beltline,Townhouse,3,2.4,390457,1950,1599,51.09136,-113.93324
LINC-102930,CGL-202930,"4679 17 Ave SW, Calgary, AB",Beltline,Detached,4,3.1,1129614,1984,908,51.09346,-114.0392
LINC-102931,CGL-202931,"9357 8 Ave NE, Calgary, AB",Brentwood,Condo,3,4.0,501865,2020,3134,50.86162,-114.15624
LINC-102932,CGL-202932,"1333 17 Ave SW, Calgary, AB",Signal Hill,Condo,5,1.9,915103,1968,1090,51.061085,-114.08668
LINC-102933,CGL-202933,"4639 Crowchild Trail NW, Calgary, AB",Mahogany,Detached,5,3.2,835127,2010,1118,51.01065,-114.09672
LINC-102934,CGL-202934,"6486 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,4,1.6,436076,1997,820,50.931865,-114.12468
LINC-102935,CGL-202935,"8226 Memorial Dr NE, Calgary, AB",Tuscany,Detached,2,1.9,527888,1977,1206,51.00638,-114.13584
LINC-102936,CGL-202936,"6968 17 Ave SW, Calgary, AB",Beltline,Townhouse,5,1.2,451765,1989,2067,50.959095,-113.98944
LINC-102937,CGL-202937,"8715 Centre St N, Calgary, AB",Beltline,Townhouse,4,1.6,747959,1951,1111,50.96774,-113.95624
LINC-102938,CGL-202938,"9048 Centre St N, Calgary, AB",Mahogany,Townhouse,2,1.2,408803,1954,630,51.142285,-114.14072
LINC-102939,CGL-202939,"9841 MacLeod Trail SE, Calgary, AB",Seton,Detached,4,3.7,684220,1967,787,51.1055,-114.17304
LINC-102941,CGL-202941,"7895 Crowchild Trail NW, Calgary, AB",Tuscany,Detached,1,1.3,505218,1967,1866,51.10319,-114.03652
LINC-102942,CGL-202942,"9325 17 Ave SW, Calgary, AB",Beltline,Condo,2,2.8,343821,1974,641,50.981705,-113.94188
LINC-102943,CGL-202943,"7496 8 Ave NE, Calgary, AB",Brentwood,Detached,1,1.6,1102489,1998,2819,51.09843,-114.04768
LINC-102944,CGL-202944,"775 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,1,3.0,769689,1968,1260,51.023215,-114.16532
LINC-102945,CGL-202945,"2065 17 Ave SW, Calgary, AB",Seton,Condo,3,3.6,994431,1985,2169,51.01996,-114.15444
LINC-102946,CGL-202946,"1932 Centre St N, Calgary, AB",Beltline,Townhouse,2,2.6,321725,2010,525,50.87807,-114.12124
LINC-102947,CGL-202947,"7551 MacLeod Trail SE, Calgary, AB",Tuscany,Detached,4,1.2,401728,1978,1735,51.00372,-113.94788
LINC-102948,CGL-202948,"4902 Memorial Dr NE, Calgary, AB",Seton,Detached,2,2.1,347352,2000,563,51.090275,-114.23288
LINC-102949,CGL-202949,"2460 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,5,1.8,336279,1968,3500,50.91573,-114.19164
LINC-102950,CGL-202950,"378 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,4,3.4,747507,1973,2039,51.013905,-114.27464
LINC-102951,CGL-202951,"470 8 Ave NE, Calgary, AB",Panorama Hills,Detached,4,2.9,620275,1990,886,51.10578,-114.17792
LINC-102952,CGL-202952,"3780 8 Ave NE, Calgary, AB",Mahogany,Condo,1,3.0,881953,1988,3449,51.07449,-114.05244
LINC-102953,CGL-202953,"9229 17 Ave SW, Calgary, AB",Panorama Hills,Detached,3,3.8,1117341,1995,2893,51.01037,-114.07516
LINC-102954,CGL-202954,"8948 MacLeod Trail SE, Calgary, AB",Beltline,Condo,1,1.4,361464,2023,3233,51.18292,-114.25652
LINC-102955,CGL-202955,"1909 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,1,1.5,700748,2019,2157,51.03823,-113.9066
LINC-102956,CGL-202956,"4778 Elbow Dr SW, Calgary, AB",Signal Hill,Townhouse,4,1.8,833010,2004,2604,50.942155,-114.17736
LINC-102957,CGL-202957,"7002 8 Ave NE, Calgary, AB",Brentwood,Condo,4,4.0,260141,2014,2652,50.890565,-113.97032
LINC-102958,CGL-202958,"4511 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,1,2.5,491928,2006,3192,51.12062,-114.04412
LINC-102959,CGL-202959,"9233 17 Ave SW, Calgary, AB",Signal Hill,Detached,5,1.1,555739,2022,1035,50.954895,-114.21776
LINC-102960,CGL-202960,"1504 Centre St N, Calgary, AB",Tuscany,Detached,1,2.2,1022776,2017,1325,50.901835,-114.21084
LINC-102961,CGL-202961,"6539 Crowchild Trail NW, Calgary, AB",Panorama Hills,Townhouse,2,3.5,1073575,1991,1443,51.138855,-114.22572
LINC-102962,CGL-202962,"4664 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,4,1.8,290970,2014,1146,50.87912,-114.13872
LINC-102963,CGL-202963,"2021 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,4,2.0,702663,1973,1106,51.17823,-114.1744
LINC-102964,CGL-202964,"259 8 Ave NE, Calgary, AB",Beltline,Detached,2,3.2,765551,1968,559,51.07232,-114.15192
LINC-102965,CGL-202965,"5986 MacLeod Trail SE, Calgary, AB",Beltline,Detached,2,1.0,271622,1952,2746,50.87184,-113.99176
LINC-102966,CGL-202966,"8603 Centre St N, Calgary, AB",Brentwood,Condo,4,2.4,872585,1964,3007,50.96858,-114.2134
LINC-102967,CGL-202967,"179 17 Ave SW, Calgary, AB",Signal Hill,Townhouse,5,3.3,845725,1961,996,50.92343,-114.158
LINC-102968,CGL-202968,"4230 17 Ave SW, Calgary, AB",Mahogany,Detached,1,2.7,1147448,1961,2074,51.0621,-114.04184
LINC-102969,CGL-202969,"9401 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,2,3.5,395609,2013,1325,51.188835,-114.26048
LINC-102970,CGL-202970,"7583 Elbow Dr SW, Calgary, AB",Seton,Townhouse,5,3.8,855206,2008,3434,51.075855,-114.05304
LINC-102971,CGL-202971,"832 Centre St N, Calgary, AB",Beltline,Townhouse,3,1.9,1133577,1960,2743,50.898755,-114.174
LINC-102972,CGL-202972,"7067 Centre St N, Calgary, AB",Tuscany,Condo,2,1.1,274177,2015,1635,50.872505,-114.03924
LINC-102973,CGL-202973,"3690 8 Ave NE, Calgary, AB",Mahogany,Detached,1,3.2,506186,2007,837,50.99686,-114.05576
LINC-102975,CGL-202975,"4345 MacLeod Trail SE, Calgary, AB",Signal Hill,Detached,5,3.9,574058,1969,574,50.883495,-113.98424
LINC-102976,CGL-202976,"3198 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,1,1.2,463336,1991,1479,50.90677,-114.07876
LINC-102977,CGL-202977,"4650 Centre St N, Calgary, AB",Mahogany,Detached,4,2.0,852673,1982,1660,50.94499,-114.16032
LINC-102978,CGL-202978,"9635 Elbow Dr SW, Calgary, AB",Tuscany,Condo,4,2.3,1000899,1956,891,50.95003,-114.14852
LINC-102979,CGL-202979,"1059 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,1,3.4,990651,2019,875,50.86344,-113.91828
LINC-102980,CGL-202980,"8406 8 Ave NE, Calgary, AB",Brentwood,Townhouse,2,2.5,875437,1986,504,51.09087,-114.23276
LINC-102981,CGL-202981,"2545 Centre St N, Calgary, AB",Brentwood,Detached,5,2.0,1180341,1958,2535,51.078025,-114.1972
LINC-102982,CGL-202982,"4393 Elbow Dr SW, Calgary, AB",Tuscany,Detached,4,1.7,625926,1974,2185,51.17368,-114.01112
LINC-102983,CGL-202983,"5204 8 Ave NE, Calgary, AB",Brentwood,Condo,4,1.1,558972,1961,1153,51.088805,-114.05004
LINC-102984,CGL-202984,"1651 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,5,3.1,362389,2020,975,50.901415,-114.10336
LINC-102985,CGL-202985,"6959 17 Ave SW, Calgary, AB",Panorama Hills,Detached,3,2.0,268768,1986,3226,51.111905,-113.96328
LINC-102986,CGL-202986,"6613 17 Ave SW, Calgary, AB",Beltline,Detached,4,2.8,479704,1957,1583,50.9046,-114.13472
LINC-102987,CGL-202987,"7087 Centre St N, Calgary, AB",Beltline,Detached,1,1.4,504073,2016,1087,50.9634,-113.97888
LINC-102988,CGL-202988,"7608 17 Ave SW, Calgary, AB",Beltline,Detached,2,1.6,1197996,1966,2825,51.040295,-114.26544
LINC-102989,CGL-202989,"7099 17 Ave SW, Calgary, AB",Tuscany,Detached,2,1.1,1198383,1983,2680,51.0411,-114.24876
LINC-102990,CGL-202990,"6231 17 Ave SW, Calgary, AB",Mahogany,Townhouse,4,2.3,590894,1978,3492,50.91958,-114.17328
LINC-102991,CGL-202991,"4336 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,1,3.9,570299,1972,1091,51.190445,-114.06528
LINC-102992,CGL-202992,"7305 Centre St N, Calgary, AB",Brentwood,Townhouse,3,2.1,276375,1963,3047,50.885385,-114.24472
LINC-102993,CGL-202993,"1543 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,3,2.5,1029638,1976,3497,50.993815,-113.98392
LINC-102994,CGL-202994,"5164 Centre St N, Calgary, AB",Seton,Detached,3,1.7,835455,2003,840,50.97299,-113.90232
LINC-102995,CGL-202995,"8147 Centre St N, Calgary, AB",Signal Hill,Detached,2,3.8,1043627,1962,3282,50.92945,-114.0388
LINC-102996,CGL-202996,"2167 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,2,2.2,253977,2015,2105,51.123175,-114.29684
LINC-102997,CGL-202997,"6953 Elbow Dr SW, Calgary, AB",Seton,Condo,3,3.8,1071215,2001,1125,51.08387,-114.03876
LINC-102998,CGL-202998,"2230 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,4,3.7,678626,2019,2310,50.8633,-114.29904
LINC-102999,CGL-202999,"8466 Memorial Dr NE, Calgary, AB",Seton,Condo,5,1.9,739770,1960,3213,50.906665,-114.0026
LINC-103000,CGL-203000,"2715 Crowchild Trail NW, Calgary, AB",Beltline,Townhouse,2,2.1,288272,2002,945,51.017405,-114.13496
LINC-103001,CGL-203001,"8460 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,4,4.0,402645,1966,1463,51.10543,-114.07912
LINC-103002,CGL-203002,"5231 Memorial Dr NE, Calgary, AB",Tuscany,Detached,3,1.2,1011327,2003,2049,51.093705,-114.29516
LINC-103003,CGL-203003,"9073 8 Ave NE, Calgary, AB",Beltline,Detached,1,2.0,918150,2005,1535,51.168255,-114.07728
LINC-103004,CGL-203004,"5937 8 Ave NE, Calgary, AB",Tuscany,Condo,5,3.4,268027,2001,3203,50.98755,-113.96464
LINC-103005,CGL-203005,"4628 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,1,3.3,355985,2013,1301,50.922275,-114.06332
LINC-103006,CGL-203006,"9057 Crowchild Trail NW, Calgary, AB",Beltline,Townhouse,2,2.4,252643,2004,1456,51.05475,-113.90792
LINC-103007,CGL-203007,"5125 8 Ave NE, Calgary, AB",Tuscany,Townhouse,5,3.4,774752,2014,1232,50.858225,-114.16036
LINC-103009,CGL-203009,"6738 MacLeod Trail SE, Calgary, AB",Seton,Detached,3,3.5,1106223,1962,679,50.99637,-114.15728
LINC-103010,CGL-203010,"3077 17 Ave SW, Calgary, AB",Brentwood,Condo,3,1.6,1036171,1985,836,51.10165,-114.07308
LINC-103011,CGL-203011,"3155 8 Ave NE, Calgary, AB",Seton,Detached,1,3.1,303433,1989,3003,51.139065,-114.1244
LINC-103012,CGL-203012,"8748 Centre St N, Calgary, AB",Beltline,Detached,4,1.4,998190,2014,2077,51.107215,-114.22204
LINC-103013,CGL-203013,"966 17 Ave SW, Calgary, AB",Brentwood,Detached,1,4.0,461439,1963,2935,50.960985,-113.99796
LINC-103014,CGL-203014,"7419 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,5,2.8,301903,1960,866,51.01142,-113.95484
LINC-103015,CGL-203015,"4622 17 Ave SW, Calgary, AB",Beltline,Detached,3,3.8,747909,1964,1485,50.92189,-114.03688
LINC-103016,CGL-203016,"1852 Memorial Dr NE, Calgary, AB",Panorama Hills,Condo,1,2.8,739302,2021,2199,50.94002,-114.1116
LINC-103017,CGL-203017,"846 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,4,3.7,413145,1995,3300,51.120025,-114.05628
LINC-103018,CGL-203018,"934 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,1,2.7,548734,2009,2645,51.12006,-114.12768
LINC-103019,CGL-203019,"5484 Memorial Dr NE, Calgary, AB",Tuscany,Detached,1,1.2,708803,1993,1415,50.969735,-113.98764
LINC-103020,CGL-203020,"5632 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,1,1.1,424554,2021,2664,50.971135,-114.09024
LINC-103022,CGL-203022,"3814 Centre St N, Calgary, AB",Beltline,Condo,1,2.3,829364,2015,954,51.13777,-113.93672
LINC-103023,CGL-203023,"7800 Memorial Dr NE, Calgary, AB",Brentwood,Detached,2,3.0,1171819,1999,1529,51.054225,-113.92456
LINC-103025,CGL-203025,"7430 Centre St N, Calgary, AB",Signal Hill,Detached,1,1.5,550727,2020,561,50.92441,-114.13848
LINC-103026,CGL-203026,"9095 MacLeod Trail SE, Calgary, AB",Seton,Condo,4,3.6,774813,1954,560,51.03151,-114.14896
LINC-103027,CGL-203027,"2880 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,3,1.6,1055340,1967,1373,51.074245,-113.99452
LINC-103028,CGL-203028,"6575 8 Ave NE, Calgary, AB",Brentwood,Detached,4,2.8,1077685,1999,2967,51.040015,-113.91184
LINC-103029,CGL-203029,"6365 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,3,2.2,745095,1952,2093,50.974145,-114.1092
LINC-103030,CGL-203030,"7349 Elbow Dr SW, Calgary, AB",Panorama Hills,Condo,1,2.3,973615,1965,1507,51.147255,-114.23336
LINC-103031,CGL-203031,"9571 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,2,1.3,307586,1964,2165,51.164265,-114.10396
LINC-103032,CGL-203032,"4985 Memorial Dr NE, Calgary, AB",Brentwood,Condo,1,1.0,260114,1977,1309,50.928015,-113.91496
LINC-103033,CGL-203033,"6063 17 Ave SW, Calgary, AB",Seton,Townhouse,5,3.3,1186156,1970,1655,51.16136,-114.04244
LINC-103034,CGL-203034,"3571 Elbow Dr SW, Calgary, AB",Panorama Hills,Townhouse,1,2.9,1157754,1978,2867,51.12139,-114.14548
LINC-103035,CGL-203035,"2343 MacLeod Trail SE, Calgary, AB",Signal Hill,Condo,5,1.2,274730,1951,1734,51.153275,-114.18932
LINC-103036,CGL-203036,"1855 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,1,3.4,581761,1979,691,50.96242,-114.23316
LINC-103037,CGL-203037,"2514 17 Ave SW, Calgary, AB",Tuscany,Detached,4,2.4,632445,2020,2089,50.98881,-114.15784
LINC-103038,CGL-203038,"4864 Centre St N, Calgary, AB",Panorama Hills,Detached,2,3.0,894312,1992,1453,51.06301,-114.017
LINC-103040,CGL-203040,"8270 Centre St N, Calgary, AB",Tuscany,Detached,4,2.5,1097652,2004,1000,50.90124,-114.00488
LINC-103041,CGL-203041,"5343 Centre St N, Calgary, AB",Brentwood,Townhouse,3,2.0,1052075,1964,1060,51.023845,-114.1316
LINC-103042,CGL-203042,"9045 Memorial Dr NE, Calgary, AB",Beltline,Condo,4,2.0,353264,1967,1459,51.068785,-114.18196
LINC-103043,CGL-203043,"9803 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,4,2.5,607948,1996,1563,51.07463,-113.944
LINC-103044,CGL-203044,"2635 Centre St N, Calgary, AB",Seton,Townhouse,1,3.3,1101546,2009,1158,51.11005,-114.08744
LINC-103045,CGL-203045,"3820 Elbow Dr SW, Calgary, AB",Mahogany,Detached,2,1.9,556937,2005,2014,50.956505,-114.10184
LINC-103046,CGL-203046,"4690 Centre St N, Calgary, AB",Seton,Condo,4,1.4,625498,1958,2308,51.12853,-114.25556
LINC-103047,CGL-203047,"1767 17 Ave SW, Calgary, AB",Mahogany,Detached,1,3.5,736377,1965,1981,51.19874,-114.16164
LINC-103048,CGL-203048,"6395 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,4,2.6,922365,1979,2470,50.97782,-113.97324
LINC-103050,CGL-203050,"3142 Centre St N, Calgary, AB",Tuscany,Detached,3,2.5,590071,2008,3251,51.198985,-114.07664
LINC-103051,CGL-203051,"3066 Centre St N, Calgary, AB",Beltline,Detached,5,1.5,522168,2000,3306,51.082365,-114.22984
LINC-103052,CGL-203052,"8752 Centre St N, Calgary, AB",Brentwood,Condo,2,2.7,1124413,1988,687,51.13364,-114.21572
LINC-103053,CGL-203053,"7451 Centre St N, Calgary, AB",Mahogany,Condo,2,1.0,934408,1998,3298,50.94226,-113.92504
LINC-103054,CGL-203054,"3489 8 Ave NE, Calgary, AB",Mahogany,Detached,2,3.8,468361,2020,2142,51.176655,-114.10692
LINC-103055,CGL-203055,"7896 Centre St N, Calgary, AB",Panorama Hills,Detached,3,2.8,478472,2017,2266,50.903515,-113.97752
LINC-103056,CGL-203056,"8356 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,1,2.2,954456,1953,1578,50.86246,-114.08204
LINC-103057,CGL-203057,"8570 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,2,1.5,977629,1992,2017,51.0726,-114.07332
LINC-103058,CGL-203058,"3955 MacLeod Trail SE, Calgary, AB",Beltline,Condo,1,3.1,1124768,1968,2442,50.93575,-114.28716
LINC-103059,CGL-203059,"3377 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,1,3.9,593274,2007,2257,51.024055,-114.0972
LINC-103060,CGL-203060,"4316 Memorial Dr NE, Calgary, AB",Beltline,Condo,2,3.0,1023709,1991,2185,51.191215,-114.20012
LINC-103061,CGL-203061,"7476 17 Ave SW, Calgary, AB",Panorama Hills,Condo,5,2.8,735882,2013,3410,50.886715,-114.08316
LINC-103062,CGL-203062,"5654 MacLeod Trail SE, Calgary, AB",Tuscany,Detached,4,3.6,865195,1953,1488,50.883145,-114.15
LINC-103063,CGL-203063,"8733 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,4,1.6,671990,1966,2365,50.968685,-114.08348
LINC-103064,CGL-203064,"3479 8 Ave NE, Calgary, AB",Beltline,Townhouse,2,1.5,924721,1968,2474,50.92259,-114.2504
LINC-103065,CGL-203065,"1792 17 Ave SW, Calgary, AB",Seton,Detached,4,3.5,932883,2012,2244,50.97873,-113.94332
LINC-103066,CGL-203066,"2077 Centre St N, Calgary, AB",Beltline,Condo,2,1.2,558834,1970,3026,51.05636,-114.19276
LINC-103067,CGL-203067,"8999 MacLeod Trail SE, Calgary, AB",Beltline,Condo,3,3.5,673780,2023,2766,50.94205,-114.16828
LINC-103068,CGL-203068,"3912 17 Ave SW, Calgary, AB",Tuscany,Detached,1,3.5,856690,1951,1349,51.080965,-113.92176
